building_id,event_id,start,end,pts,AE_mean,AE_max,AE_sum,thr_mean,thr_max,neg_AE_max,pos_AE_max,duration_h,type,severity_ratio_max,severity_ratio_mean
1151,1,2025-10-21 01:45:00+00:00,2025-10-21 02:30:00+00:00,4,13.67014544194589,43.98168197951516,54.68058176778356,8.125821645215947,23.438952124407013,0.0,43.98168197951516,1.0,OVER,1.876435505566692,1.6823093145287218
1151,2,2025-10-25 15:45:00+00:00,2025-10-25 16:30:00+00:00,4,5.441758521528154,9.527713275156984,21.767034086112616,3.9310579378760853,7.4252800569466135,9.527713275156984,0.0,1.0,OVER,1.283145309279408,1.3842987326888105
1151,3,2025-10-28 03:15:00+00:00,2025-10-28 04:30:00+00:00,6,4.025831090846746,7.047676436392138,24.154986545080476,3.6382570977324704,6.081062755074205,7.047676436392138,0.0,1.5,OVER,1.15895472884429,1.1065273791002372
1151,4,2025-10-28 05:45:00+00:00,2025-10-28 06:30:00+00:00,4,13.700347097718346,27.944170092657785,54.801388390873385,9.530703373036518,20.16585784559488,4.215167323487634,27.944170092657785,1.0,OVER,1.3857169036209405,1.4374959078548433
1151,5,2025-11-01 07:45:00+00:00,2025-11-01 08:30:00+00:00,4,28.081510134679572,39.102839970394314,112.32604053871829,23.67159103449681,35.843208644531174,39.102839970394314,36.71277105690528,1.0,OVER,1.0909413930596998,1.1862958469397409
1151,6,2025-11-03 16:45:00+00:00,2025-11-03 17:30:00+00:00,4,3.88359590913206,4.838632408736402,15.53438363652824,3.3907409413432905,4.530884477797355,4.838632408736402,0.0,1.0,OVER,1.0679222638421042,1.145353176876296
1151,7,2025-11-10 18:00:00+00:00,2025-11-10 18:45:00+00:00,4,5.340175476585724,6.827015866946212,21.360701906342896,4.659212782950244,6.498430822666563,6.827015866946212,0.0,1.0,OVER,1.0505637519650963,1.1461540232992513
1151,8,2025-11-13 19:30:00+00:00,2025-11-13 20:15:00+00:00,4,5.99119284698153,10.604408977051689,23.96477138792612,4.8684781724511605,8.047614361826966,10.604408977051689,5.042947404400429,1.0,OVER,1.3177083916138697,1.2306089572062535
1151,9,2025-11-13 22:15:00+00:00,2025-11-13 23:00:00+00:00,4,7.394454747819322,10.890128914406624,29.577818991277287,5.587803237177018,9.648576211851022,0.0,10.890128914406624,1.0,OVER,1.1286772965560083,1.3233205311565395
1151,10,2025-11-20 07:45:00+00:00,2025-11-20 08:30:00+00:00,4,11.749494796581619,14.31102444100432,46.997979186326475,10.04354958333987,13.636834211124064,14.31102444100432,8.935872898387274,1.0,OVER,1.0494389107796218,1.169854810700746
1151,11,2025-11-26 05:15:00+00:00,2025-11-26 08:15:00+00:00,4,14.814091992486205,27.875253230200357,59.25636796994482,11.189820942774265,20.735195045311894,15.975769661493473,27.875253230200357,1.0,OVER,1.3443448768765158,1.3238899950452097
1151,12,2025-11-27 05:45:00+00:00,2025-11-27 07:00:00+00:00,6,9.521019277084967,17.457403366770578,57.126115662509804,8.080234420734032,15.420815128270675,17.457403366770578,7.865592533455256,1.5,OVER,1.1320674829157549,1.1783097842624286
1151,13,2025-12-01 04:45:00+00:00,2025-12-01 05:30:00+00:00,4,11.365269149487919,20.709334262908882,45.461076597951674,8.351350129727155,16.186414405836622,0.0,20.709334262908882,1.0,OVER,1.2794269159105027,1.3608900325029518
