building_id,event_count,total_event_h,mean_severity,peak_severity,mean_severity_ratio,peak_severity_ratio,over_events,under_events
1151,17,18.0,9.296362785649459,43.98168197951516,1.2748881950792517,1.876435505566692,17,0
1411,13,13.25,8.000729673281224,78.86120078261607,1.304664026876387,1.9166611467199193,13,0
1541,15,15.5,24.62683539518367,86.87284233852482,1.2830532540105148,1.7566643085149365,14,1
271,8,8.25,22.156188968406877,85.97055315401427,1.249379086074856,1.2620388750790705,8,0
321,5,5.25,2.3289368990302473,11.865539913665565,1.2348444515634907,1.7377089592150579,5,0
351,16,16.25,15.964532639806839,34.62299734832487,1.216761769793008,1.3270767918770456,16,0
421,16,17.0,3.938125998329852,13.802883041046819,1.3461219305922092,1.5802670188806223,16,0
611,13,13.5,14.531041805711617,96.87755889690777,1.3739842197809653,1.9147535661426438,13,0
8213,10,11.25,1.5204585317564598,11.131806799960158,1.3330296007244626,1.7455679314718495,10,0
8391,3,3.0,14.60358093141142,25.787288274009782,1.1616759595251753,1.0773454364007493,3,0
